"Warna","TDS","Kekeruhan","Suhu","E. Coli","Total Koliform","Fluorida","Total Kromium","Nitrit","Nitrat","Sianida","Aluminium","Besi","Kesadahan","Khlorida","Mangan","pH","Seng","Sulfat","Tembaga","Amonia","Zat Organik","Karbondioksida Bebas","Alkalinitas Total","Label"
"1","86.4","0.70","22","0","0","0.03","0.02","0.008","0.07","0.005","0.011","0.04","51.5","4.9","0.003","7.01","0.01","14","0.01","0.02","2.7","28.2","16.5","Layak Diminum"
"1","79.3","0.68","21","0","0","0.01","0.02","0.004","0.03","0.000","0.009","0.03","43.6","4.8","0.011","7.04","0.02","19","0.02","0.01","2.4","33.4","12.5","Layak Diminum"
"1","84.7","0.71","22","0","0","0.04","0.01","0.006","0.03","0.000","0.013","0.02","51.5","4.6","0.011","7.02","0.02","24","0.02","0.02","1.8","31.7","14","Layak Diminum"
"1","86.4","0.70","22","0","0","0.05","0.01","0.004","0.04","0.001","0.024","0.02","53.5","4.3","0.008","7.03","0.02","27","0.03","0.02","2.1","31.7","16.5","Layak Diminum"
"1","79.3","0.68","21","0","0","0.03","0.02","0.004","0.07","0.000","0.028","0.02","49.5","4.5","0.008","7.05","0.01","25","0.01","0.02","2.7","30.8","17","Layak Diminum"
"1","82.6","0.80","23","0","0","0.02","0.02","0.014","0.13","0.001","0.014","0.07","49.5","7.1","0.005","6.88","0.01","16","0.01","0.02","3.0","5.3","26.5","Layak Diminum"
"1","80.6","0.78","23","0","0","0.02","0.02","0.011","0.13","0.000","0.038","0.07","47.5","7.1","0.007","6.76","0.03","18","0.02","0.02","2.4","6.2","23.5","Layak Diminum"
"1","87.6","0.80","23","0","0","0.02","0.02","0.007","0.16","0.000","0.033","0.06","47.5","7.5","0.007","6.87","0.01","38","0.01","0.01","1.8","5.3","28","Layak Diminum"
"1","85.5","0.85","23","0","0","0.02","0.01","0.009","0.19","0.003","0.031","0.03","49.5","7.3","0.006","6.78","0.01","26","0.03","0.02","2.4","5.3","23","Layak Diminum"
"2","90.6","0.88","24","0","0","0.03","0.01","0.008","0.18","0.030","0.036","0.04","42.6","7.5","0.004","6.87","0.02","25","0.01","0.02","2.1","4.4","28","Layak Diminum"
